NIC statistics:
     rx_packets: 48291733
     tx_packets: 21837410
     rx_bytes: 61250873344
     tx_bytes: 3021459287
     rx_broadcast: 10233
     tx_broadcast: 214
     rx_multicast: 88412
     tx_multicast: 632
     rx_errors: 1561
     tx_errors: 0
     tx_dropped: 0
     multicast: 88412
     collisions: 0
     rx_length_errors: 2
     rx_over_errors: 0
     rx_crc_errors: 1543
     rx_frame_errors: 0
     rx_no_buffer_count: 0
     rx_missed_errors: 4
     tx_aborted_errors: 0
     tx_carrier_errors: 0
     tx_fifo_errors: 0
     tx_heartbeat_errors: 0
     tx_window_errors: 0
     tx_abort_late_coll: 0
     tx_deferred_ok: 0
     tx_single_coll_ok: 0
     tx_multi_coll_ok: 0
     tx_timeout_count: 0
     tx_restart_queue: 0
     rx_long_length_errors: 2
     rx_short_length_errors: 0
     rx_align_errors: 12
     tx_tcp_seg_good: 902144
     tx_tcp_seg_failed: 0
     rx_flow_control_xon: 0
     rx_flow_control_xoff: 0
     tx_flow_control_xon: 0
     tx_flow_control_xoff: 0
     rx_csum_offload_good: 48102214
     rx_csum_offload_errors: 0
     rx_header_split: 0
     alloc_rx_buff_failed: 0
     tx_smbus: 0
     rx_smbus: 0
     dropped_smbus: 0
     rx_dma_failed: 0
     tx_dma_failed: 0
     rx_hwtstamp_cleared: 0
     uncorr_ecc_errors: 0
     corr_ecc_errors: 0
     tx_hwtstamp_timeouts: 0
     tx_hwtstamp_skipped: 0
